Target,data
spam,WINNER As a valued network customer you have been selected to receive a prize reward To claim call 
spam,If you had your mobile for more than an year you are entitled to Update to the latest colour mobiles with camera for Free Call The Mobile 
ham,I am gonna be home soon 
spam,SIX chances to win CASH From 100 to 20000 dollars text or call
spam,URGENT You have won a 1 week FREE membership in our million dollar Prize Jackpot Text the word CLAIM 
ham,You have been wonderful and a blessing at all times
spam,XXXMobileMovieClub To use your credit click the WAP link in the next txt message or click here 
ham,okay I am watching here
spam,England vs Macedonia dont miss the team news Text ur national team 
ham,Is that seriously how you spell his name 
ham,did you finish your lunch already
ham,Alright no way I can meet up with you sooner
ham,Just forced myself to eat a slice I am really not hungry
ham,Did you catch the train
ham,tell me anything about you.
spam,Thanks for your subscription to Ringtone UK your mobile will be charged Please confirm by replying YES or NO 
ham,Hello How are you and how did saturday go
spam,Rodger Burns MSG We tried to call you reply to our sms for a free samsung mobile and free camcorder Please call now for delivery tomorrow
spam,Congrats one year special cinema pass for two is yours call now Dont miss out 
ham,Sorry I will call later in meeting
ham,Tell where you reached
ham,Your gonna have to pick up a burger for yourself on your way home
spam,As a valued customer I am pleased to advise you that for your recent review you are awarded a Bonus Prize
spam,Urgent you are awarded a complimentary trip to EuroDisinc To claim text immediately
ham,Finished class where are you
ham,where are you how did you perform 
ham,you can call me now
ham,I am waiting Call me once you are free
ham,I am on the way to homei
spam,Please call our customer service representative between 10am-9pm as you have WON a guaranteed cash prize
